Quadra;Bairro;Latitude;longitude;Espécie;nome comum;Hábito;PAP;Altura;Estado geral;;;
4;Centro;6959685;209996;Handroanthus chrysotrichus;Ipê;Árvore;0.5;5.1;Bom;;;
4;Centro;6959624;210094;Handroanthus chrysotrichus;Ipê;Árvore;0.77;5.1;Bom;;;
4;Centro;6959628;210082;Handroanthus chrysotrichus;Ipê;Árvore;0.55;5.21;Bom;;;
4;Centro;6959660;210051;Handroanthus chrysotrichus;Ipê;Árvore;0.44;5.3;Bom;;;
4;Centro;6959627;209096;Handroanthus chrysotrichus;Ipê;Árvore;0.47;5.41;Bom;;;
4;Centro;6959653;210064;Chamaecyparis obtusa;Cipreste;Árvore;0.41;5.59;Bom;;;
4;Centro;6959638;210058;Handroanthus heptaphyllus;Ipê-roxo;Árvore;0.35;5.6;Bom;;;
4;Centro;6959644;209054;Handroanthus chrysotrichus;Ipê;Árvore;0.38;5.61;Regular;;;
4;Centro;6959652;209105;Handroanthus chrysotrichus;Ipê;Árvore;0.4;5.61;Bom;;;
4;Centro;6959636;209066;Handroanthus heptaphyllus;Ipê-roxo;Árvore;0.46;5.61;Regular;;;
4;Centro;6959643;210074;Handroanthus chrysotrichus;Ipê;Árvore;0.33;5.7;Bom;;;
4;Centro;6959662;209010;Handroanthus heptaphyllus;Ipê-roxo;Árvore;0.65;5.81;Bom;;;
4;Centro;6959688;210117;Handroanthus heptaphyllus;Ipê-roxo;Árvore;0.34;5.86;Bom;;;
4;Centro;6959725;210018;Handroanthus chrysotrichus;Ipê;Árvore;0.42;5.86;Bom;;;
4;Centro;6959746;209108;Handroanthus chrysotrichus;Ipê;Árvore;0.51;5.86;Regular;;;
4;Centro;6959610;210058;Lophantera lactescens;Chuva-de-ouro;Árvore;0.77;5.95;Bom;;;
4;Centro;6959649;210056;Chamaecyparis obtusa;Cipreste;Árvore;0.23;6;Bom;;;
4;Centro;6959755;210054;Handroanthus chrysotrichus;Ipê;Árvore;0.32;6.68;Bom;;;
4;Centro;6959710;209009;Handroanthus chrysotrichus;Ipê;Árvore;0.44;6.68;Bom;;;
4;Centro;6959666;210004;Handroanthus chrysotrichus;Ipê;Árvore;0.52;6.68;Bom;;;
4;Centro;6959731;209138;Handroanthus chrysotrichus;Ipê;Árvore;0.53;6.68;Regular;;;
4;Centro;6959674;209985;Handroanthus chrysotrichus;Ipê;Árvore;0.54;6.68;Bom;;;
4;Centro;6959660;210015;Handroanthus chrysotrichus;Ipê;Árvore;0.55;6.68;Bom;;;
4;Centro;6959644;209100;Handroanthus chrysotrichus;Ipê;Árvore;0.57;6.68;Bom;;;
4;Centro;6959679;209116;Handroanthus chrysotrichus;Ipê;Árvore;0.58;6.68;Bom;;;
4;Centro;6959715;210043;Mangifera indica;Mangueira;Árvore;0.67;6.68;Bom;;;
4;Centro;6959746;210058;Eugenia involucrata;Cerejeira;Árvore;0.2;6.8;Bom;;;
4;Centro;6959682;210078;Senna multijulga;Aleluia/Fedegoso;Árvore;0.23;6.8;Bom;;;
4;Centro;6959755;210072;Brinco-de-ouro;Brinco-de-ouro;Árvore;0.53;6.8;Bom;;;
4;Centro;6959708;210047;Caesalpinia peltophoroides;Sibipiruna;Árvore;0.55;6.8;Bom;;;
4;Centro;6959693;210051;Bauhinia forficata;Pata-de-vaca;Árvore;0.58;6.8;Bom;;;
4;Centro;6959656;210068;Dombeya wallichii;Astrapéia;Árvore;0.63;6.8;Bom;;;
4;Centro;6959712;210080;Handroanthus chrysotrichus;Ipê;Árvore;0.63;6.8;Bom;;;
4;Centro;6959704;210036;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;0.98;6.8;Bom;;;
4;Centro;6959644;210070;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;1.19;6.8;Regular;;;
4;Centro;6959706;209129;Handroanthus chrysotrichus;Ipê;Árvore;0.42;6.86;Bom;;;
4;Centro;6959698;210124;Handroanthus heptaphyllus;Ipê-roxo;Árvore;0.56;6.98;Bom;;;
4;Centro;6959734;210080;Handroanthus chrysotrichus;Ipê;Árvore;0.36;7;Bom;;;
4;Centro;6959713;210065;Chamaecyparis obtusa;Cipreste;Árvore;1.37;7.5;Bom;;;
4;Centro;6959660;209110;Handroanthus chrysotrichus;Ipê;Árvore;0.79;7.53;Bom;;;
4;Centro;6959702;210018;Lagerstroemia indica;Resedá;Árvore;1.2;7.65;Bom;;;
4;Centro;6959739;210087;Handroanthus chrysotrichus;Ipê;Árvore;0.28;7.75;Bom;;;
4;Centro;6959692;209120;Handroanthus chrysotrichus;Ipê;Árvore;0.47;8.35;Bom;;;
4;Centro;6959665;210068;Bauhinia forficata;Pata-de-vaca;Árvore;0.49;8.5;Bom;;;
4;Centro;6959743;210094;Cinnamomum camphora;Cânfora;Árvore;0.5;8.5;Bom;;;
4;Centro;6959697;210093;Caesalpinia peltophoroides;Sibipiruna;Árvore;0.9;10;Bom;;;
4;Centro;6959692;210028;Handroanthus heptaphyllus;Ipê-roxo;Árvore;0.71;10.2;Bom;;;
4;Centro;6959679;210100;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;0.86;10.4;Bom;;;
4;Centro;6959729;210105;Handroanthus chrysotrichus;Ipê;Árvore;0.45;10.5;Bom;;;
4;Centro;6959682;210090;Handroanthus chrysotrichus;Ipê;Árvore;0.56;10.6;Bom;;;
